original index,load power (kW),solar power (kW),battery power (kW),battery SoC (kWh),solar capacity (kW),battery capacity (kWh),battery peak power (kW)
1514725200,0.446906123931941,0.0,-0.447306123923,2.69827777778,5.05740000725,6.52,3.0
1514725500,0.47370612050966,0.0,-0.469306120459,2.66615789474,5.05740000725,6.52,3.0
1514725800,0.537383676970881,0.0,-0.538183676953,2.608,5.05740000725,6.52,3.0
1514726100,0.5310449012948201,0.0,-0.5322449012680001,2.5524210526299997,5.05740000725,6.52,3.0
1514726400,0.506502038192411,0.0,-0.507102038179,2.50436842105,5.05740000725,6.52,3.0
1514726700,0.5026874991133521,0.0,-0.5036874990910001,2.4633157894699997,5.05740000725,6.52,3.0
1514727000,0.499959995373941,0.0,-0.500359995365,2.412,5.05740000725,6.52,3.0
1514727300,0.51282499677223,0.0,-0.514624996732,2.35726315789,5.05740000725,6.52,3.0
1514727600,0.459799997843411,0.0,-0.46039999783,2.3145,5.05740000725,6.52,3.0
1514727900,0.458559184747941,0.0,-0.458959184739,2.2785263157899998,5.05740000725,6.52,3.0
1514728200,0.45906530568447,0.0,-0.45926530568,2.216,5.05740000725,6.52,3.0
1514728500,0.455620408147941,0.0,-0.456020408139,2.17836842105,5.05740000725,6.52,3.0
1514728800,0.53875102308373,0.0,-0.5355510231180001,2.1365555555599998,5.05740000725,6.52,3.0
1514729100,0.53577959260282,0.0,-0.536979592576,2.086,5.05740000725,6.52,3.0
1514729400,0.536726529331411,0.0,-0.537326529318,2.02442105263,5.05740000725,6.52,3.0
1514729700,0.537439999841352,0.0,-0.538439999819,1.97405555556,5.05740000725,6.52,3.0
1514730000,0.530542853974411,0.0,-0.531142853961,1.92473684211,5.05740000725,6.52,3.0
1514730300,0.5233714252822701,0.0,-0.526571425248,1.87916666667,5.05740000725,6.52,3.0
1514730600,0.44804490004382,0.0,-0.449244900017,1.825,5.05740000725,6.52,3.0
1514730900,0.3953428554192,0.0,-0.407142855379,1.77710526316,5.05740000725,6.52,3.0
1514731200,0.228448980237352,0.0,-0.229448980215,1.76,5.05740000725,6.52,3.0
1514731500,0.232028570799941,0.0,-0.232428570791,1.7238888888900001,5.05740000725,6.52,3.0
1514731800,0.28497551157233,0.0,-0.282775511547,1.695,5.05740000725,6.52,3.0
1514732100,0.307019998058941,0.0,-0.30741999805,1.6769444444400001,5.05740000725,6.52,3.0
1514732400,0.49834694190641,0.0,-0.492346941817,1.63,5.05740000725,6.52,3.0
1514732700,0.527934694955881,0.0,-0.528734694938,1.575,5.05740000725,6.52,3.0
1514733000,0.528542852962411,0.0,-0.529142852949,1.5278888888900002,5.05740000725,6.52,3.0
1514733300,0.52204490213417,0.0,-0.524244902085,1.47505263158,5.05740000725,6.52,3.0
1514733600,0.42259184037815,0.0,-0.426591840326,1.434,5.05740000725,6.52,3.0
1514733900,0.420567345433881,0.0,-0.421367345416,1.37261111111,5.05740000725,6.52,3.0
1514734200,0.41828979434647,0.0,-0.418489794342,1.34505263158,5.05740000725,6.52,3.0
1514734500,0.420987755149941,0.0,-0.421387755141,1.304,5.05740000725,6.52,3.0
1514734800,0.50617916826194,0.0,-0.499979168177,1.24533333333,5.05740000725,6.52,3.0
1514735100,0.53866938633953,0.0,-0.538469386344,1.20036842105,5.05740000725,6.52,3.0
1514735400,0.540265310095352,0.0,-0.5412653100729999,1.14905263158,5.05740000725,6.52,3.0
1514735700,0.53596250568876,0.0,-0.537562505653,1.1043888888900002,5.05740000725,6.52,3.0
1514736000,0.535439999550881,0.0,-0.536239999533,1.043,5.05740000725,6.52,3.0
1514736300,0.55194286078317,0.0,-0.554142860734,0.988833333333,5.05740000725,6.52,3.0
1514736600,0.47827754912211,0.0,-0.480877549064,0.9432631578949999,5.05740000725,6.52,3.0
1514736900,0.23219999730580002,0.0,-0.245199997425,0.912,5.05740000725,6.52,3.0
1514737200,0.2293632643007,0.0,-0.208163264253,0.9047777777780001,5.05740000725,6.52,3.0
1514737500,0.2183306127152,0.0,-0.0505306125542,0.8641052631580002,5.05740000725,6.52,3.0
1514737800,0.2994999992219,0.0,-0.05929999989690001,0.8614444444439999,5.05740000725,6.52,3.0
1514738100,0.4350816320491,0.0,-0.0580816323921,0.853842105263,5.05740000725,6.52,3.0
1514738400,0.5528530721749,0.0,-0.0346530613689,0.847,5.05740000725,6.52,3.0
1514738700,0.547640012614,0.0,-0.049639999792,0.853842105263,5.05740000725,6.52,3.0
1514739000,0.5442857264189,0.0,-0.0372857139089,0.847,5.05740000725,6.52,3.0
1514739300,0.5365800109976,0.0,-0.0301800001506,0.853842105263,5.05740000725,6.52,3.0
1514739600,0.469546939064,0.0,-0.026346939136,0.850611111111,5.05740000725,6.52,3.0
1514739900,0.4670400001739,0.0,-0.0102399999159,0.847,5.05740000725,6.52,3.0
1514740200,0.4740600024256,0.0,-0.0280600006226,0.8504210526319999,5.05740000725,6.52,3.0
1514740500,0.464073470945743,0.0,-0.000673469419743,0.847,5.05740000725,6.52,3.0
1514740800,0.4982599948512,0.0,-0.0102600000962,0.850611111111,5.05740000725,6.52,3.0
1514741100,0.5200916496770001,0.0,-0.011291666228,0.847,5.05740000725,6.52,3.0
1514741400,0.518019987011448,0.0,-0.000620000029448,0.847,5.05740000725,6.52,3.0
1514741700,0.51921998248862,0.0,-0.00082000003662,0.847,5.05740000725,6.52,3.0
1514742000,0.338840000754898,0.0,-0.000840000039898,0.847,5.05740000725,6.52,3.0
1514742300,0.32365714261185496,0.0,-0.0008571428978550001,0.847,5.05740000725,6.52,3.0
1514742600,0.251259997671348,0.0,-0.000660000031348,0.847,5.05740000725,6.52,3.0
1514742900,0.25245999682202,0.0,-0.0006600000290199999,0.847,5.05740000725,6.52,3.0
1514743200,0.28565999913734796,0.0,-0.000660000031348,0.847,5.05740000725,6.52,3.0
1514743500,0.482053056344509,0.0,-0.000653061255509,0.847,5.05740000725,6.52,3.0
