original index,load power (kW),solar power (kW),battery power (kW),battery SoC (kWh),solar capacity (kW),battery capacity (kWh),battery peak power (kW)
1514725200,0.191566105499,0.0,-0.17891304356899998,3.9346666666699996,5.22510202564,6.4,2.4
1514725500,0.19314583281720002,0.0,-0.1801458324,3.916,5.22510202564,6.4,2.4
1514725800,0.1928531516769,0.0,-0.179127660838,3.916,5.22510202564,6.4,2.4
1514726100,0.2709744747033,0.0,-0.248574469318,3.84,5.22510202564,6.4,2.4
1514726400,0.2901833378648,0.0,-0.275583332715,3.84,5.22510202564,6.4,2.4
1514726700,0.18548580478192,0.0,-0.177934782984,3.84,5.22510202564,6.4,2.4
1514727000,0.208431764993,0.0,-0.186020000875,3.7825263157899998,5.22510202564,6.4,2.4
1514727300,0.26957765828999997,0.0,-0.254652172651,3.756,5.22510202564,6.4,2.4
1514727600,0.2684127581376,0.0,-0.249212762143,3.756,5.22510202564,6.4,2.4
1514727900,0.2860958369821,0.0,-0.264895832166,3.756,5.22510202564,6.4,2.4
1514728200,0.3010083405923,0.0,-0.281208333249,3.688,5.22510202564,6.4,2.4
1514728500,0.3904966016995,0.0,-0.362333334362,3.68,5.22510202564,6.4,2.4
1514728800,0.4067876523842,0.0,-0.384042550909,3.63578947368,5.22510202564,6.4,2.4
1514729100,0.22986250241632,0.0,-0.220062501108,3.596,5.22510202564,6.4,2.4
1514729400,0.19087083332229998,0.0,-0.17427083291099998,3.596,5.22510202564,6.4,2.4
1514729700,0.1902249993758,0.0,-0.17362499889000002,3.596,5.22510202564,6.4,2.4
1514730000,0.1958208347481,0.0,-0.179020834155,3.596,5.22510202564,6.4,2.4
1514730300,0.19514285658960007,0.0,-0.17861224406800005,3.59177777778,5.22510202564,6.4,2.4
1514730600,0.190646739317,0.0,-0.173591836679,3.52,5.22510202564,6.4,2.4
1514730900,0.2742222274504,0.0,-0.247022223141,3.52,5.22510202564,6.4,2.4
1514731200,0.2754956600066,0.0,-0.254695653915,3.52,5.22510202564,6.4,2.4
1514731500,0.2900340406442,0.0,-0.26623404248000004,3.52,5.22510202564,6.4,2.4
1514731800,0.2667063787137,0.0,-0.246106380478,3.52,5.22510202564,6.4,2.4
1514732100,0.2149319749411,0.0,-0.201666665884,3.45933333333,5.22510202564,6.4,2.4
1514732400,0.1675821095884,0.0,-0.151895835064,3.436,5.22510202564,6.4,2.4
1514732700,0.1778249996036,0.0,-0.160624999243,3.436,5.22510202564,6.4,2.4
1514733000,0.1942759351111,0.0,-0.176520833125,3.436,5.22510202564,6.4,2.4
1514733300,0.1802475497896,0.0,-0.165541667181,3.436,5.22510202564,6.4,2.4
1514733600,0.1959829782881,0.0,-0.17838297815999998,3.38955555556,5.22510202564,6.4,2.4
1514733900,0.15394999987750002,0.0,-0.140750000098,3.36,5.22510202564,6.4,2.4
1514734200,0.1420000008924,0.0,-0.12600000125,3.36,5.22510202564,6.4,2.4
1514734500,0.1724489794047,0.0,-0.154448979211,3.36,5.22510202564,6.4,2.4
1514734800,0.1891005329798,0.0,-0.170108695717,3.36,5.22510202564,6.4,2.4
1514735100,0.19373967625820002,0.0,-0.176680852124,3.33347368421,5.22510202564,6.4,2.4
1514735400,0.19140851135720002,0.0,-0.173808510633,3.276,5.22510202564,6.4,2.4
1514735700,0.37900817103960005,0.0,-0.34440816209,3.276,5.22510202564,6.4,2.4
1514736000,0.3733428577202,0.0,-0.35114285654,3.2422222222199997,5.22510202564,6.4,2.4
1514736300,0.2874425585344,0.0,-0.271042552717,3.2,5.22510202564,6.4,2.4
1514736600,0.24983913421669998,0.0,-0.230239130557,3.2,5.22510202564,6.4,2.4
1514736900,0.2478571444449,0.0,-0.227244898069,3.2,5.22510202564,6.4,2.4
1514737200,0.220121324135,0.0,-0.206395834684,3.16463157895,5.22510202564,6.4,2.4
1514737500,0.1766775502154,0.0,-0.157775509722,3.116,5.22510202564,6.4,2.4
1514737800,0.1831481387899,0.0,-0.165877551449,3.116,5.22510202564,6.4,2.4
1514738100,0.25218333534890003,0.0,-0.229583332315,3.116,5.22510202564,6.4,2.4
1514738400,0.2604163260667,0.0,-0.237816325864,3.116,5.22510202564,6.4,2.4
1514738700,0.2022638313025,0.0,-0.192063831903,3.072,5.22510202564,6.4,2.4
1514739000,0.15128875414310003,0.0,-0.13557446859000002,3.04,5.22510202564,6.4,2.4
1514739300,0.18651981791959998,0.0,-0.16612766049,3.04,5.22510202564,6.4,2.4
1514739600,0.2283531930626,0.0,-0.201553192544,3.04,5.22510202564,6.4,2.4
1514739900,0.31454893304320003,0.0,-0.292148935034,3.0355789473700003,5.22510202564,6.4,2.4
1514740200,0.22105433756380002,0.0,-0.209062501478,2.956,5.22510202564,6.4,2.4
1514740500,0.1788928095552,0.0,-0.16008888897,2.956,5.22510202564,6.4,2.4
1514740800,0.2755021275645,0.0,-0.246702124781,2.956,5.22510202564,6.4,2.4
1514741100,0.26210841940760005,0.0,-0.252312500651,2.93911111111,5.22510202564,6.4,2.4
1514741400,0.15837809087729998,0.0,-0.144456521648,2.88,5.22510202564,6.4,2.4
1514741700,0.1519750017919,0.0,-0.136375001321,2.88,5.22510202564,6.4,2.4
1514742000,0.1440893633366,0.0,-0.130489362523,2.88,5.22510202564,6.4,2.4
1514742300,0.1805666664117,0.0,-0.161166665765,2.88,5.22510202564,6.4,2.4
1514742600,0.1805306130604,0.0,-0.164612245195,2.82252631579,5.22510202564,6.4,2.4
1514742900,0.1851410113846,0.0,-0.16729787372500002,2.796,5.22510202564,6.4,2.4
1514743200,0.2671391328443,0.0,-0.238739129642,2.796,5.22510202564,6.4,2.4
1514743500,0.20095000265170998,0.0,-0.191750001628,2.796,5.22510202564,6.4,2.4
1514743800,0.15786521736729997,0.0,-0.13906521771299998,2.78755555556,5.22510202564,6.4,2.4
1514744100,0.187378723701,0.0,-0.160978723397,2.72,5.22510202564,6.4,2.4
1514744400,0.21526250029590002,0.0,-0.196062500278,2.72,5.22510202564,6.4,2.4
1514744700,0.1556217379236,0.0,-0.135021738384,2.72,5.22510202564,6.4,2.4
1514745000,0.237122011088,0.0,-0.215489360563,2.72,5.22510202564,6.4,2.4
1514745300,0.11705039596546002,-0.00319148940926,-0.08685106371950001,2.67578947368,5.22510202564,6.4,2.4
1514745600,0.05781248426214,-0.00591836721465,-0.00933333334979,2.636,5.22510202564,6.4,2.4
1514745900,0.19319565415425,-0.00478260858875,-0.0684130444475,2.636,5.22510202564,6.4,2.4
1514746200,0.13400851099262,-0.00319148948852,-0.0566170215607,2.636,5.22510202564,6.4,2.4
1514746500,0.12801224561528002,-0.005306122330380001,-0.045306123413000006,2.636,5.22510202564,6.4,2.4
1514746800,0.1422808517449,-0.013617020972200002,-0.101063830421,2.636,5.22510202564,6.4,2.4
1514747100,0.16475662253161003,-0.0297872333768,-0.131500000755,2.57688888889,5.22510202564,6.4,2.4
1514747400,0.19067323839578998,-0.0420833327419,-0.147021277471,2.56,5.22510202564,6.4,2.4
1514747700,0.24253750015328,-0.0506250000714,-0.186312499611,2.56,5.22510202564,6.4,2.4
1514748000,0.4036468124400301,-0.053404254997300005,-0.3470425542360001,2.56,5.22510202564,6.4,2.4
1514748300,0.37419800168340006,-0.06957446791710001,-0.307276596414,2.51578947368,5.22510202564,6.4,2.4
1514748600,0.23926370649616,-0.0889795922047,-0.152244897977,2.476,5.22510202564,6.4,2.4
1514748900,0.1725542524475,-0.118958333818,-0.0367959187442,2.476,5.22510202564,6.4,2.4
1514749200,0.2590857314622,-0.123478259405,-0.124382979167,2.476,5.22510202564,6.4,2.4
1514749500,0.20958947821235,-0.137021275594,-0.0711956527894,2.476,5.22510202564,6.4,2.4
1514749800,0.17240000241974002,-0.16937500238400002,0.00937500005966,2.476,5.22510202564,6.4,2.4
1514750100,0.1256826096959,-0.171739131212,0.0144565217754,2.444,5.22510202564,6.4,2.4
1514750400,0.09506904476350003,-0.253124995778,0.154541665378,2.4,5.22510202564,6.4,2.4
1514750700,0.08527033432406002,-0.26170212220600003,0.17525531732000002,2.4,5.22510202564,6.4,2.4
1514751000,0.07926345051281701,-0.269565227239,0.18989361347,2.4,5.22510202564,6.4,2.4
1514751300,0.07726559810707999,-0.274791672826,0.195957447303,2.4,5.22510202564,6.4,2.4
1514751600,0.07665714321946998,-0.281020408382,0.204163265167,2.4,5.22510202564,6.4,2.4
1514751900,0.07964355149344,-0.284255316283,0.205000000075,2.4,5.22510202564,6.4,2.4
1514752200,0.12428510645899997,-0.977021275049,0.8289361691220001,2.44644444444,5.22510202564,6.4,2.4
