timestamp,Load.671,Load.634a,Load.634b,Load.634c,Load.645,Load.646,Load.692,Load.675a,Load.675b,Load.675c,Load.611,Load.652,Load.670a,Load.670b,Load.670c
2000-01-01 00:00:00,0.8480125872866265,0.7486864013971898,0.7051988530556353,0.8072529631599626,0.7503137445043997,0.7361494273077154,0.8079659782472738,0.6008003885562435,0.9086422681845181,0.7337144159630735,0.7970547728766518,0.8064464415149319,0.7848400893119007,0.815828920088237,0.8523659148355173
2000-01-01 00:05:00,0.8492226847506926,0.7302216492869577,0.7186785635046169,0.8088514708275453,0.7414443788125403,0.740960328480223,0.8074593262965198,0.6077633794115016,0.8954338011659237,0.7399267167122072,0.7968246875263528,0.8100924540283466,0.785416791293325,0.8153306182250605,0.8540287357856033
2000-01-01 00:10:00,0.8489822875496988,0.6919234482869988,0.7098709770103006,0.8104036538528131,0.73990995393443,0.7423372539346199,0.8078218681146913,0.6104649310311436,0.8985809224759213,0.7398168095772494,0.7926551358071267,0.7976653547366553,0.7898963320926707,0.8110067570458578,0.8556084007646293
2000-01-01 00:15:00,0.847830650904844,0.7678768929275442,0.7058191906471593,0.8106886477925904,0.7411259871512963,0.7407843066552737,0.8078953067375422,0.6081692166402594,0.8963548901478944,0.7320783132403881,0.7947009734770498,0.8007947495894739,0.7903417170487756,0.8085648227087688,0.8646782065705234
2000-01-01 00:20:00,0.9382172651442595,0.8151360426082688,0.7002863215423863,0.8200092685107924,0.741921997809632,0.736519880061512,0.8517607251059182,0.612961040855528,0.8869997089956674,0.7328173394208092,0.8246452647660542,0.804624255309023,0.7904093037195549,0.8086711868958549,0.9302072033334139
2000-01-01 00:25:00,0.8503065525107704,0.8043110080384965,0.7285721110669889,0.8099719177988564,0.7454183211400522,0.7244131226564787,0.8919056337396363,0.6021159295337346,0.8852578477202592,0.7233044115740485,0.8026523086822942,0.8086130789447414,0.790713006969537,0.8080361770355424,0.9094660065812322
2000-01-01 00:30:00,0.8530163945755805,0.8536480580285596,0.7472157498137323,0.8082844046188247,0.7632011640297912,0.7321463468688443,0.8875981026825969,0.596404380582978,0.8988087967489532,0.7224351564406506,0.7999271514892079,0.7963084644453552,0.7858797022638879,0.8061334492600414,0.908494771362148
2000-01-01 00:35:00,0.8045322405671917,0.8985844710502673,0.7478843640501385,0.8073253651974813,0.764612769324474,0.7364732077463764,0.8173230745126654,0.598034783612847,0.8977085953544323,0.7207326030047015,0.8026074153493716,0.7981153983726712,0.7859329515360036,0.8832659514268894,0.8569502956231237
2000-01-01 00:40:00,0.8542455816897361,0.7839840012707109,0.7465983665821988,0.8017170473365106,0.7547448047357548,0.737042932055231,0.8625821848017751,0.6043616814374668,0.8959282495185028,0.7426201430281518,0.7988079478756539,0.7877075828723968,0.7865354492059063,0.8157226142642605,0.8536026497595907
2000-01-01 00:45:00,0.8542929717265101,0.7249905992282399,0.751676497842051,0.7977422767891617,0.7530981846501762,0.7359875060709288,0.8606506095738247,0.6151317660431163,0.9048751113709853,0.7354072329739056,0.794427264675993,0.7957861654743771,0.7864412129862767,0.8174313532389459,0.8537821458281906
2000-01-01 00:50:00,0.8525281262020616,0.7579026456044816,0.7456058469170758,0.8003874305263236,0.7528851561097865,0.7395289846918577,0.8614457840957123,0.6187523193907755,0.8964421471850555,0.7445889389963751,0.798154676023581,0.7884347761939839,0.7867801103890556,0.8179143230163052,0.8997298429976543
2000-01-01 00:55:00,0.8411777846408307,0.7569885744587426,0.7375440728123577,0.8092232256016311,0.7550478493666336,0.7344044552286875,0.8535782997986618,0.6219332785627859,0.8954696637064915,0.7460459892851214,0.8033547876454279,0.7927782897331743,0.792674003885064,0.8175278205591199,0.861777903225232
2000-01-01 01:00:00,0.8455156511337668,0.7587559545914655,0.726983950548331,0.8053485825787023,0.7509182227203908,0.7311795248153665,0.8502353432333375,0.6265364323535304,0.8914024670114845,0.744631503952082,0.7988037272022753,0.8142312039282674,0.7940453388405377,0.8143152447810507,0.8603465329439988
2000-01-01 01:05:00,0.8596293765034301,0.7565520107411426,0.7249517626759785,0.799847180149422,0.7533339966563044,0.732427463860294,0.8573202007773386,0.6156653882322684,0.8923185045504957,0.7422182501585863,0.8040834639657242,0.8024015930946474,0.7938157821340648,0.8103809314476013,0.910801645314926
2000-01-01 01:10:00,0.8679201671896772,0.767484537916236,0.7331258272754275,0.810044577641113,0.7570993049899373,0.7306561393366113,0.865354640958245,0.6133178111450865,0.8930985025711037,0.7335598309644602,0.8057216839511231,0.793897876665035,0.7957663657458822,0.8140496290258294,0.9047873894050356
2000-01-01 01:15:00,0.8557622312440877,0.7685840555245081,0.7335468827467063,0.8097132434660147,0.7509454219240366,0.7357440745083119,0.9220521844001883,0.6079638363068869,0.9046466587151004,0.7323265990840463,0.8130449873584765,0.7964332993044438,0.7961393204472124,0.8208087345716576,0.8638785843645546
2000-01-01 01:20:00,0.85358588897744,0.742110094342513,0.7416236648655532,0.8093948923891136,0.7482538230538069,0.7355632183559896,0.8853594956995114,0.6260080173795403,0.910205103798102,0.7329192900738618,0.7932494910305596,0.797427537447514,0.7956570505567586,0.8259058470413294,0.8585812968636746
2000-01-01 01:25:00,0.8526246353515556,0.6932515457651126,0.7438650187069753,0.8114429786948284,0.7523173175425248,0.7357681175553102,0.8671802277636382,0.7137346683004381,0.9042921404661395,0.7366173097905846,0.790545698195194,0.7863679659696642,0.797272729842876,0.8245350929681559,0.8631562390630149
